,time
1554462328,1758
1554462355,1706
1554462345,1596
1554462330,1559
1554462457,1516
1554462333,1488
1554462433,1479
1554462456,1430
1554462408,1421
1554462429,1409
1554462329,1405
1554462393,1401
1554462348,1389
1554462397,1368
1554462372,1366
1554462394,1361
1554462335,1355
1554462439,1345
1554462483,1343
1554462371,1343
1554462398,1340
1554462471,1332
1554462472,1326
1554462358,1323
1554462452,1322
1554462448,1321
1554462438,1313
1554462306,1295
1554462305,1288
1554462463,1279
1554462414,1279
1554462362,1277
1554462481,1276
1554462458,1271
1554462323,1265
1554462443,1264
1554462370,1259
1554462476,1259
1554462347,1248
1554462423,1248
1554462477,1239
1554462384,1235
1554462313,1235
1554462442,1231
1554462334,1231
1554462382,1229
1554462465,1228
1554462331,1227
1554462436,1219
1554462407,1219
1554462353,1219
1554462418,1218
1554462409,1211
1554462451,1207
1554462395,1205
1554462432,1203
1554462482,1192
1554462316,1187
1554462484,1183
1554462417,1182
1554462381,1177
1554462403,1172
1554462327,1171
1554462447,1170
1554462346,1165
1554462503,1160
1554462363,1160
1554462311,1157
1554462396,1153
1554462326,1150
1554462488,1148
1554462485,1147
1554462480,1143
1554462437,1142
1554462428,1137
1554462427,1134
1554462322,1130
1554462425,1126
1554462502,1126
1554462493,1126
1554462308,1121
1554462321,1121
1554462386,1119
1554462385,1118
1554462499,1116
1554462492,1112
1554462361,1109
1554462383,1108
1554462315,1105
1554462344,1104
1554462430,1095
1554462392,1094
1554462495,1089
1554462387,1087
1554462464,1085
1554462352,1077
1554462416,1076
1554462318,1074
1554462494,1073
1554462365,1072
1554462338,1072
1554462473,1071
1554462419,1070
1554462356,1067
1554462460,1063
1554462431,1061
1554462376,1059
1554462446,1048
1554462325,1046
1554462415,1044
1554462310,1037
1554462391,1036
1554462342,1028
1554462498,1028
1554462320,1019
1554462405,1006
1554462400,1002
1554462487,1000
1554462454,996
1554462314,980
1554462475,978
1554462486,977
1554462317,970
1554462491,966
1554462367,965
1554462309,962
1554462459,959
1554462441,957
1554462470,957
1554462504,951
1554462426,942
1554462341,925
1554462351,919
1554462501,919
1554462434,910
1554462380,906
1554462479,904
1554462505,900
1554462402,896
1554462339,896
1554462343,895
1554462468,894
1554462497,892
1554462411,880
1554462319,880
1554462406,877
1554462354,870
1554462469,869
1554462413,867
1554462500,852
1554462401,852
1554462337,850
1554462312,842
1554462307,829
1554462422,824
1554462462,814
1554462377,810
1554462373,799
1554462506,799
1554462496,799
1554462424,798
1554462399,797
1554462478,787
1554462369,784
1554462467,781
1554462404,778
1554462450,770
1554462375,769
1554462340,768
1554462389,763
1554462474,750
1554462360,743
1554462368,738
1554462461,736
1554462435,735
1554462453,733
1554462359,731
1554462388,729
1554462489,724
1554462444,721
1554462440,714
1554462324,711
1554462455,710
1554462390,707
1554462412,706
1554462410,700
1554462304,692
1554462449,678
1554462366,674
1554462336,664
1554462357,652
1554462379,636
1554462350,633
1554462332,633
1554462364,543
1554462349,532
1554462378,528
1554462421,523
1554462420,497
1554462490,480
1554462374,441
1554462445,433
1554462466,399
